video_id,title,channel,comments
lIr8z14sORg,람보르기니 구독하고댓글만쓰고 받아가세요,보겸TV,462841
VQRLujxTm3c,Grand Theft Auto VI Trailer 2,Rockstar Games,439542
8OmVVdapouU,ADIOS AMIGO CURLY - Fernanfloo,Fernanfloo,149689
EdxguQAXeoU,TAKE NOTES ( Official Audio) Sidhu Moose Wala  | Latest Punjabi Songs 2025,Sidhu Moose Wala,127038
vBynw9Isr28,Lady Gaga - Abracadabra (Official Music Video),LadyGagaVEVO,124514
UlMANoK70IA,Operation Sindoor | Can Pakistan EVER be Trusted Again? | Dhruv Rathee,Dhruv Rathee,110138
kbEC-AGr9n0,LISA - BORN AGAIN feat. Doja Cat & RAYE (Official Music Video),LLOUD Official,106386
TP0pxZ1EszM,NEAL (Official Audio) Sidhu Moose Wala  | Latest Punjabi Songs 2025,Sidhu Moose Wala,102460
KDorKy-13ak,Kendrick Lamar's Apple Music Super Bowl Halftime Show,NFL,98574
uKAPYLvDJFQ,0008 (Official Audio) Sidhu Moose Wala  |  Latest Punjabi Songs 2025,Sidhu Moose Wala,96794
